reservoir_id,name,company,latitude,longitude,total_capacity
RES_108,Fewston,,50.049963,-8.018319,3845.0
RES_109,Ffynnon Llugwy,,50.041694,-8.031755,1776.0
RES_110,Fiddler's Ferry P.S. Ash Lagoon D,,50.043777,-8.024026,2900.0
RES_111,Fontburn,,50.062533,-8.019596,3279.0
RES_112,Foremark,,50.038268,-8.017043,13193.49
RES_113,Fruid,,50.064852,-8.028116,10438.0
RES_114,Garreg Ddu,,50.032813,-8.029787,
RES_115,Gladhouse,,50.067952,-8.026311,8133.0
RES_116,Glen Finglas,,50.072971,-8.033264,9043.0
RES_117,Glencorse,,50.06888,-8.027041,1673.0
RES_118,Gorple Upper,,50.047916,-8.020683,1731.0
RES_119,Gouthwaite,,50.051307,-8.018832,5810.789
RES_120,Grafham Water,,50.033092,-8.009486,55490.0
RES_121,Grassholme,,50.056122,-8.020557,6060.0
RES_122,Greenbooth,,50.046455,-8.021321,3405.0
RES_123,Grimwith,,50.050874,-8.019461,22200.0
RES_124,Hallington East,,50.060982,-8.020243,3116.74
RES_125,Hallington West,,50.060955,-8.020315,3380.0
RES_126,Hampton - Sunnyside,,50.024256,-8.009872,71.0
RES_127,Hanningfield,,50.026907,-8.004426,27721.0
RES_128,Haweswater,,50.055499,-8.024493,84840.0
RES_129,Heaton Park,,50.045509,-8.021573,2800.0
RES_130,Hewenden,,50.048295,-8.019335,252.0
RES_131,High Maynard,,50.026113,-8.007823,659.0
RES_132,Hilfield Park,,50.02669,-8.009602,2728.0
RES_133,Hollingworth Lake,,50.046464,-8.020584,2468.0
RES_134,Hollowell,,50.033579,-8.013799,2064.0
RES_135,Hopes,,50.068718,-8.024071,600.0
RES_136,Howden,,50.044409,-8.018472,8990.0
RES_137,Hury,,50.055869,-8.020315,3905.0
RES_138,Island Barn,,50.024075,-8.009764,4011.0
RES_139,Jumbles,,50.046338,-8.022381,2050.0
RES_140,Kellington Ings Reservoir,,50.047294,-8.014689,14400.0
RES_141,Kielder,,50.061992,-8.022624,199000.0
RES_142,Killington,,50.05329,-8.023685,3238.21
RES_143,Kinder,,50.04402,-8.019474,2028.0
RES_144,King George V,,50.026735,-8.007652,10981.0
RES_145,King George VI,,50.024634,-8.010645,18732.0
RES_146,Ladybower,,50.043777,-8.018203,27800.0
RES_147,Lamaload,,50.042858,-8.020261,1932.0
RES_148,Langsett,,50.045103,-8.018077,6401.0
RES_149,Leeming,,50.048187,-8.019659,408.0
RES_150,Leigh Barrier (Medway) FSR,,50.022209,-8.005936,5580.0
RES_151,Leighton,,50.05219,-8.018544,4780.0
RES_152,Lindley Wood,,50.04953,-8.018068,3045.0
RES_153,Linton Ings,,50.050531,-8.01565,3000.0
RES_154,Little Swinburne,,50.061063,-8.020494,1721.0
RES_155,Llandegfedd,,50.026916,-8.026057,24492.0
RES_156,Llwyn-On,,50.028079,-8.028888,5066.0
RES_157,Llyn Alaw,,50.043768,-8.034612,7400.0
RES_158,Llyn Aled,,50.041289,-8.029742,1777.0
RES_159,Llyn Arenig Fawr,,50.039485,-8.030335,7488.0
RES_160,Llyn Brenig,,50.040964,-8.029193,54273.0
RES_161,Llyn Brianne,,50.031424,-8.030865,32882.0
RES_162,Llyn Celyn,,50.039713,-8.030252,40959.0
RES_163,Llyn Clywedog,,50.035031,-8.029903,48828.0
RES_164,Llyn Cowlyd,,50.041785,-8.031341,9432.0
RES_165,Llyn Cwellyn,,50.041081,-8.032995,1687.0
RES_166,Llyn Cwmystradllyn,,50.040062,-8.032923,2902.0
RES_167,Llyn Peris,,50.041469,-8.032698,1870.0
RES_168,Llyn Stwlan,,50.040071,-8.031988,747.0
RES_169,Llyn Tegid (Bala Lake),,50.039224,-8.029625,106751.0
RES_170,Llyn Trawsfynydd,,50.039512,-8.031737,26108.0
RES_171,Loch Achonachie,,50.086076,-8.033965,3873.0
RES_172,Loch an Diamh,,50.076315,-8.033402,27052.0
RES_173,Loch Arklet,,50.072958,-8.034578,16286.0
RES_174,Loch Bradan,,50.062875,-8.034194,17475.0
RES_175,Loch Drunkie,,50.072532,-8.033098,6346.0
RES_176,Loch Earn,,50.074318,-8.031692,397630.0
RES_177,Loch Eigheach Gaur,,50.077266,-8.033831,2461.0
RES_178,Loch Ericht,,50.077789,-8.033408,1291596.0
RES_179,Loch Garry,,50.081342,-8.035493,163272.0
RES_180,Loch Gleann A'Bhearraidh,,50.074562,-8.03937,774.0
RES_181,Loch Katrine,,50.072995,-8.033989,804704.0
RES_182,Loch Loyne,,50.081865,-8.036167,19859.0
RES_183,Loch Luichart,,50.086698,-8.034693,128124.0
RES_184,Loch Lyon,,50.075896,-8.033911,59270.0
RES_185,Loch Nant,,50.074381,-8.037947,15464.0
RES_186,Loch Quoich,,50.08136,-8.037335,556677.0
RES_187,Loch Spey,,50.080585,-8.032752,356.0
RES_188,Loch Thom,,50.069628,-8.035642,8668.0
RES_189,Loch Vaich,,50.087906,-8.034864,12388.0
RES_190,Loch Venachar,,50.072636,-8.032812,49358.0
RES_191,Lockwood,,50.026167,-8.007841,2106.0
RES_192,Loganlea,,50.068745,-8.02724,532.0
RES_193,Low Maynard,,50.026113,-8.007823,80.0
RES_194,Marchlyn Mawr,,50.041676,-8.032429,5017.0
RES_195,Megget,,50.06512,-8.027256,63722.0
RES_196,Meldon,,50.017277,-8.032914,3170.0
RES_197,Mickletown Washland,,50.047528,-8.016271,1655.0
RES_198,Midhope,,50.045031,-8.017996,1859.0
RES_199,Misson East FSA,,50.044625,-8.013628,1670.0
RES_200,Misson West FSA,,50.044544,-8.013844,1750.0
RES_201,More Hall,,50.044706,-8.017421,2172.989
RES_202,Mullardoch,,50.083975,-8.035978,165226.0
RES_203,Nant-y-Moch,,50.034824,-8.031197,26292.0
RES_204,Northampton Washlands,,50.032479,-8.012856,2340.0
RES_205,Ogston,,50.041469,-8.016603,6180.0
RES_206,Oldbury Power Station,,50.0266,-8.023595,2300.0
RES_207,Ouse Washes,,50.035076,-8.00652,90000.0
RES_208,Penygarreg,,50.033128,-8.029858,5558.0
RES_209,Pitsford,,50.033264,-8.013215,17545.0
RES_210,Pontsticill (Taf Fechan),,50.028115,-8.028439,10717.0
RES_211,Queen Elizabeth II,,50.024084,-8.009953,16809.0
RES_212,Queen Mary,,50.024319,-8.010357,30363.0
RES_213,Queen Mother,,50.024959,-8.010932,31492.0
RES_214,Ravensthorpe,,50.033399,-8.01388,1884.0
RES_215,Rhodeswood,,50.044923,-8.019605,2273.0
RES_216,River Shin,,50.09063,-8.032743,316.0
RES_217,River Till Controlled Washland,,50.043056,-8.013682,3200.0
RES_218,River Witham Flood Washlands,,50.041821,-8.011445,6300.0
RES_219,Rivington Lower,,50.046203,-8.023325,6516.0
RES_220,Roadford,,50.017132,-8.034199,36910.0
RES_221,Roundhill,,50.052046,-8.018652,2503.0
RES_222,Rudyard,,50.041442,-8.020494,2949.7
RES_223,Rutland Water,,50.036789,-8.011517,124000.0
RES_224,Scaling,,50.055256,-8.013269,1682.0
RES_225,Scammonden,,50.046591,-8.019524,7873.0
RES_226,Scar House,,50.052019,-8.019479,10069.0
RES_227,Seathwaite Tarn,,50.053976,-8.02674,2945.0
RES_228,Selset,,50.056004,-8.020737,15320.0
RES_229,Shustoke Lower,,50.035274,-8.017951,1921.0
RES_230,Siblyback,,50.015356,-8.035889,3364.0
RES_231,Silent Valley,,50.052205,-8.043486,13638.27
RES_232,Staines North,,50.02467,-8.010564,6940.0
RES_233,Staines South,,50.024571,-8.010564,7469.0
RES_234,Staunton Harold,,50.038184,-8.016614,6655.0
RES_235,Stithians,,50.012299,-8.040499,5420.0
RES_236,Stocks,,50.050008,-8.022516,11800.0
RES_237,Strines,,50.044228,-8.017915,2239.0
RES_238,Sutton Bingham,,50.019062,-8.024008,2600.0
RES_239,Swinsty,,50.0499,-8.018239,3936.0
RES_240,Swithland,,50.037402,-8.014994,2227.54
RES_241,"Tadcaster, Hackenby, North Ings and Cock Beck",,50.048872,-8.015552,2748.75
RES_242,Talla,,50.06506,-8.027934,12020.0
RES_243,Talybont,,50.028899,-8.028034,11921.0
RES_244,Tanygrisiau,,50.040098,-8.031836,1970.0
RES_245,Thirlmere,,50.055815,-8.026201,40714.0
RES_246,Thruscross,,50.050297,-8.018634,7800.0
RES_247,Tittesworth,,50.041361,-8.020063,6440.0
RES_248,Torside,,50.044932,-8.019497,6700.0
RES_249,Tunstall,,50.057781,-8.019416,2360.0
RES_250,Underbank,,50.045013,-8.017726,2955.0
RES_251,Usk,,50.029625,-8.030589,11235.0
RES_252,Vale House,,50.044852,-8.019707,2688.0
RES_253,Vyrnwy ,,50.037808,-8.028825,59852.0
RES_254,Walthamstow No.4,,50.026068,-8.007832,680.0
RES_255,Walthamstow No.5,,50.026023,-8.007823,680.0
RES_256,Walton - Bessborough,,50.024165,-8.009917,2757.0
RES_257,Walton - Knight,,50.024165,-8.009962,1857.0
RES_258,Waskerley,,50.058096,-8.019775,2046.5
RES_259,Watergrove,,50.046681,-8.020809,3273.0
RES_260,Wayoh,,50.046564,-8.022364,5100.0
RES_261,Weirwood,,50.021217,-8.007365,5623.0
RES_262,Wentwood,,50.026411,-8.025122,1739.0
RES_263,West Moor Reservoir,,50.020973,-8.025248,5359.0
RES_264,West Warwick,,50.025996,-8.007904,639.0
RES_265,West Water,,50.067842,-8.027933,3364.0
RES_266,Wet Sleddale,,50.055148,-8.024017,2282.0
RES_267,White Holme,,50.046879,-8.020261,1601.0
RES_268,Whiteadder,,50.068845,-8.023109,4239.0
RES_269,Widdop,,50.04806,-8.020629,2912.0
RES_270,Willen Lake,,50.030739,-8.012083,2004.0
RES_271,William Girling,,50.026519,-8.007715,16500.0
RES_272,Wimbleball,,50.020676,-8.029283,21541.0
RES_273,Winscar,,50.045319,-8.018625,8300.0
RES_274,Woodhead,,50.045031,-8.019263,4700.0
RES_275,Wraysbury,,50.024752,-8.010789,26910.0
RES_276,Yarrow,,50.046482,-8.023379,3252.0
RES_277,Ystradfellte,,50.028629,-8.029472,3277.0
